SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_PESO_TOTALE_hist;Cuartil_sup_PESO_TOTALE_hist
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Istiophorus platypterus;27;27
Arrimadero La Unión_Palangre o Espinel - Palangre o espinel de fondo_Istiophorus platypterus;56;56
Las Tenazas_Trampas o Nasas - Nasas de Peces_Ocyurus chrysurus;2;2
El Ferry_Chinchorro continental - Chinchorra_Pimelodus grosskopfii;0,38;2,36
Orpua_Red de enmalle - Red de enmalle fija marina_Penaeus brevirostris;2;28
El Valle_Línea de mano - Línea de mano fija marina_Hoplopagrus guentherii;30,65;42,35
Policía fluvial (Quibdó)_Red de enmalle - Red de enmalle fija continental_Kronoheros umbrifer;0,24;1,74
El Valle_Palangre o Espinel - Palangre o espinel de fondo_Gnathanodon speciosus;9;9
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Selar crumenophthalmus;0,68;0,68
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Haemulon plumieri;1,02;2,84
Puerto Chucha_Línea de mano - Línea de mano fija marina_Priacanthus arenatus;3,3;3,3
Damaquiel_Red de enmalle - Red de enmalle fija marina_Diapterus auratus;5;48,3
Virudó_Red de enmalle - Red de enmalle de deriva marina_Caranx sexfasciatus;1;1
Virudó_Línea de mano - Línea de mano fija marina_Lobotes pacifica;3,5;3,5
Puerto principal (San Vicente del Caguán)_Línea de mano - Línea de mano fija continental_Pseudoplatystoma tigrinum;11,08;12,52
La Ensenada_Red de enmalle - Red de enmalle camaronera_Bairdiella ensifera;1;5
La Tranca_Red de enmalle - Red de enmalle fija continental_Ctenolucius hujeta;0,06;0,31
El Muelle (Barrancabermeja)_Red de enmalle - Red de enmalle de deriva continental mallona_Ageneiosus pardalis;2;2
El Muelle (Barrancabermeja)_Red de enmalle - Red de enmalle de deriva continental mallona_Pseudoplatystoma magdaleniatum;3,67;6,82
La Rampa (Barrancabermeja)_Red de enmalle - Red de enmalle de deriva continental mallona_Pseudoplatystoma magdaleniatum;37,5;37,5
La Rampa (Barrancabermeja)_Red de enmalle - Red de enmalle de deriva continental mallona_Ageneiosus pardalis;2;2
El Muelle (Barrancabermeja)_Red de enmalle - Red de enmalle de deriva continental_Panaque cochliodon;1,25;1,25
Pesqueras - Pueblo Nuevo_Red de enmalle - Red de enmalle camaronera_Bagre pinnimaculatus;46;46
Pesqueras - Pueblo Nuevo_Red de enmalle - Red de enmalle camaronera_Notarius troschelii;3;3
Pesqueras - Pueblo Nuevo_Red de enmalle - Red de enmalle camaronera_Scomberomorus sierra;5,1;42,9
Pesqueras - Pueblo Nuevo_Red de enmalle - Red de enmalle camaronera_Bagre panamensis;15;15
Pesqueras - Pueblo Nuevo_Red de enmalle - Red de enmalle camaronera_Penaeus occidentalis;18;18
Puerto La Candelaria_Atarraya - Atarraya rastra_Spatuloricaria fimbriata;0,41;0,46
Puerto La Candelaria_Atarraya - Atarraya rastra_Isorineloricaria tenuicauda;0,3;0,73
Jurubirá_Línea de mano - Línea de mano fija marina_Tylosurus pacificus;1;13,4
Las Balsas_Red de enmalle - Red de enmalle fija continental_Phractocephalus hemioliopterus;4;4
Dotenedó_Red de enmalle - Red de enmalle fija marina_Lutjanus jordani;2,2;8
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Lutjanus mahogoni;3;3
Puerto Panseguita_Red de enmalle - Red de enmalle fija continental_Pseudopimelodus atricaudus;0,49;0,49
Vigía de Curvaradó_Red de enmalle - Red de enmalle fija continental_Brycon meeki;1,2;2,38
Río San Miguel_Atarraya - Atarraya_Hemisorubim platyrhynchos;0,88;0,88
La Ensenada_Red de enmalle - Red de enmalle camaronera_Haemulon scudderii;3;3
El Ferry_Red de enmalle - Red de enmalle de deriva continental_Hoplias malabaricus;0,7;0,7
La Boquilla_Atarraya - Atarraya_Haemulopsis corvinaeformis;2,36;4,39
Puerto Abajo (Dibulla)_Línea de mano - Línea de mano fija marina_Balistes vetula;2;2
Guineal_Red de enmalle - Red de enmalle fija marina_Oligoplites altus;0,6;5,2
Berrugas_Red de enmalle - Red de enmalle fija marina_Lutjanus apodus;1,3;1,3
Berrugas_Red de enmalle - Red de enmalle fija marina_Haemulon carbonarium;0,32;0,32
Berrugas_Chinchorro marino - Chinchorro marino_Elagatis bipinnulata;1;1
Chontal_Palangre o Espinel - Palangre o espinel de fondo_Centropomus viridis;14,25;18,75
El Ferry_Red de enmalle - Red de enmalle fija continental río_Pseudopimelodus atricaudus;0,4;0,4
Comercializadores independientes (Guapi)_Red de enmalle - Red de enmalle fija marina_Lutjanus guttatus;4;4
Puerto principal (San Vicente del Caguán)_Línea de mano - Línea de mano fija continental_Aguarunichthys inpai;3,4;3,4
Guataquí_Red de enmalle - Red de enmalle fija continental_Dasyloricaria filamentosa;0,22;0,22
Guineal_Línea de mano - Línea de mano fija marina_Epinephelus quinquefasciatus;4,2;7,8
Betania - Naya_Red de enmalle - Red de enmalle camaronera_Cathorops fuerthii;4;4
Muelle Principal (Puerto Leguízamo)_Línea de mano - Línea de mano fija continental_Brycon melanopterus;8,65;20,35
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Brotula clarkae;14;14
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Caulolatilus affinis;20;20
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Hyporthodus acanthistius;5;5
Manaure Abajo_Red de enmalle - Red de enmalle de encierro marina_Centropomus undecimalis;73,4;73,4
Lomita Arena_Red de enmalle - Red de enmalle de encierro marina_Bagre bagre;3,6;3,6
Buenavista (La Dorada)_Atarraya - Atarraya_Colossoma macropomum;12,2;12,2
Pesquera Aspabab_Palangre o Espinel - Palangre o espinel de fondo_Piaractus brachypomus;6;6
Ica-Copipa_Línea de mano - Línea de mano fija marina_Scomberomorus brasiliensis;2,65;16,38
El Porvenir_Atarraya - Atarraya_Lutjanus griseus;0,8;0,8
Tribugá_Palangre o Espinel - Palangre o espinel de fondo_Rhencus panamensis;0,5;0,5
Galería (Guapi)_Red de enmalle - Red de enmalle fija marina_Caranx spp.;80;80
Galería (Guapi)_Red de enmalle - Red de enmalle fija marina_Paralonchurus dumerilii;20;20
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Kajikia albida;5,7;14,98
Punta de blanco_Atarraya - Atarraya_Geophagus steindachneri;0,47;0,47
Miramar - Bahía Málaga_Palangre o Espinel - Palangre o espinel de superficie_Bagre pinnimaculatus;19;19
Virudó_Red de enmalle - Red de enmalle de deriva marina_Menticirrhus spp.;0,5;0,5
Puerto Miraflores_Palangre o Espinel - Palangre o espinel de fondo_Bagre panamensis;1,43;3,5
Puerto principal (San Vicente del Caguán)_Línea de mano - Línea de mano fija continental_Pimelodus blochii;4,2;4,2
Puerto principal (San Vicente del Caguán)_Línea de mano - Línea de mano fija continental_Calophysus macropterus;2,42;2,69
Puerto principal (San Vicente del Caguán)_Atarraya - Atarraya_Megaleporinus trifasciatus;1,36;3,87
Usaragá_Red de enmalle - Red de enmalle de deriva marina_Lutjanus peru;2;10,2
Sivirú_Red de enmalle - Red de enmalle fija marina_Trachinotus kennedyi;1;1
Marralú_Red de enmalle - Red de enmalle fija continental_Pimelodus grosskopfii;0,8;0,8
Popoya Playa_Red de enmalle - Red de enmalle fija marina_Pomacanthus paru;2;2
Bazurto_Red de enmalle - Red de enmalle fija marina_Ablennes hians;2,5;39,19
La Tranca_Red de enmalle - Red de enmalle fija continental_Salminus affinis;0,45;1,95
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle langostera_Panulirus laevicauda;1,55;6,85
Puerto principal (San Vicente del Caguán)_Palangre o Espinel - Palangre calandrio_Sorubim lima;1,25;6,3
Puerto principal (San Vicente del Caguán)_Palangre o Espinel - Palangre calandrio_Megalonema sp. 1;1,4;8,38
Desembarcadero (Juradó)_Línea de mano - Línea de mano fija marina_Brotula clarkae;32,75;55,25
La Punta - Firme Cifuentes_Red de enmalle - Red de enmalle de deriva marina_Caranx caballus;29,1;48,9
Milagros de la Mar_Red de enmalle - Red de enmalle de deriva marina_Tylosurus fodiator;3;3
Tribugá_Línea de mano - Línea de mano fija marina_Thunnus albacares;6,5;6,5
Tribugá_Línea de mano - Línea de mano fija marina_Kyphosus ocyurus;2;2
Tribugá_Línea de mano - Línea de mano fija marina_Caranx vinctus;0,25;0,25
Charambirá_Línea de mano - Línea de mano fija marina_Notarius spp.;1;1
Muelle Hong Kong_Red de enmalle - Red de enmalle fija continental_Pterygoplichthys pardalis;2,5;2,5
Muelle Hong Kong_Línea de mano - Línea de mano fija continental_Oxydoras niger;1,74;1,74
Las Delicias_Trampas o Nasas - Nasas de Peces_Priacanthus arenatus;2,5;5,3
Guineal_Línea de mano - Línea de mano fija marina_Lutjanus colorado;1,5;1,5
Playa de Arusí_Palangre o Espinel - Palangre o espinel de fondo_Tylosurus pacificus;1,3;1,3
Playa de Arusí_Palangre o Espinel - Palangre o espinel de fondo_Caranx caballus;1,24;1,24
Playa de Arusí_Línea de mano - Línea de mano fija marina_Epinephelus labriformis;0,37;1
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Larimus breviceps;0,43;0,54
Cartagena del Chairá_Línea de mano - Línea de mano fija continental_Pinirampus pirinampu;0,8;0,8
Ica-Copipa_Buceo - Buceo marino mixto_Apsilus dentatus;10;10
Ica-Copipa_Buceo - Buceo marino mixto_Maguimithrax spinosissimus;17,5;17,5
Ica-Copipa_Buceo - Buceo marino mixto_Panulirus laevicauda;7,5;7,5
Caño Grande_Red de enmalle - Red de enmalle fija continental_Elops smithi;0,14;0,38
La Tranca_Red de enmalle - Red de enmalle fija continental_Ichthyoelephas longirostris;0,88;0,88
Ica-Copipa_Línea de mano - Línea de mano fija marina_Mugil incilis;40;40
Campo alegre_Red de enmalle - Red de enmalle fija continental_Pseudopimelodus atricaudus;0,21;0,21
Camarones_Línea de mano - Línea de mano fija marina_Haemulon parra;36,75;36,75
Camarones_Red de enmalle - Red de enmalle de encierro marina_Sphyraena barracuda;27;27
Milagros de la Mar_Red de enmalle - Red de enmalle camaronera_Caranx caballus;90;90
Milagros de la Mar_Red de enmalle - Red de enmalle camaronera_Sphyraena ensis;6;6
Milagros de la Mar_Red de enmalle - Red de enmalle camaronera_Macrodon mordax;1;1
Milagros de la Mar_Red de enmalle - Red de enmalle camaronera_Scomberomorus sierra;2;2
Milagros de la Mar_Red de enmalle - Red de enmalle camaronera_Pomadasys spp.;1;1
Cartagena del Chairá_Línea de mano - Línea de mano fija continental_Sorubim lima;0,7;0,79
Domingodó_Red de enmalle - Red de enmalle fija continental_Cathorops mapale;0,23;0,77
Pomeño_Red de enmalle - Red de enmalle de deriva marina_Caranx caballus;1,05;4,2
Codis_Red de enmalle - Red de enmalle fija marina_Sphyraena guachancho;1;1
Guineal_Red de enmalle - Red de enmalle fija marina_Genyatremus pacifici;0,5;3,12
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus quinquefasciatus;8;72,05
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Bagre pinnimaculatus;7,05;69,75
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Bagre panamensis;7,5;180,38
Puerto Cabuyaro_Palangre o Espinel - Palangre calandrio_Ageneiosus dentatus;7,5;7,5
San Antonio de Padua_Línea de mano - Línea de mano fija continental_Ageneiosus pardalis;0,54;2,81
Berlín_Red de enmalle - Red de enmalle de deriva continental_Trachelyopterus insignis;0,32;0,52
Punta Bonita_Chinchorro marino - Chinchorro marino_Lobotes pacifica;3,2;6,8
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Caranx caballus;0,5;1,2
Bazurto_Línea de mano - Línea de mano fija marina_Plagioscion magdalenae;2,26;11,49
Bazurto_Línea de mano - Línea de mano fija marina_Gerres cinereus;2,65;7,6
El Porvenir_Atarraya - Atarraya_Elops smithi;0,68;0,68
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Bagre panamensis;1,12;3,38
La Punta - Firme Cifuentes_Red de enmalle - Red de enmalle camaronera_Sphyraena ensis;30;67,5
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Xyrichtys novacula;1,2;3,9
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle langostera_Centropomus undecimalis;4,22;15,43
Puerto principal (San Vicente del Caguán)_Palangre o Espinel - Palangre calandrio_Megaleporinus trifasciatus;1,2;1,2
Puerto principal (San Vicente del Caguán)_Palangre o Espinel - Palangre calandrio_Pimelodus blochii;1;1
Primera Ensenada_Línea de mano - Línea de mano fija marina_Cathorops mapale;18,14;43,16
Candelaria (Chimichagua)_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;2,55;11,55
La Tranca_Red de enmalle - Red de enmalle fija continental_Loricariichthys brunneus;0,13;1,21
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Priacanthus arenatus;0,63;3,24
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Lutjanus cyanopterus;1,52;1,98
Méjico_Atarraya - Atarraya_Pterygoplichthys pardalis;0,24;0,8
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Caranx melampygus;1,75;1,75
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle langostera_Chaetodipterus faber;4;4
Damaquiel_Red de enmalle - Red de enmalle fija marina_Lutjanus cyanopterus;2;2
Jodedor_Línea de mano - Línea de mano fija marina_Albula vulpes;6;6
Guineal_Palangre o Espinel - Palangre o espinel de fondo_Caranx vinctus;0,5;0,5
Berlín_Red de enmalle - Red de enmalle fija continental_Pterygoplichthys pardalis;0,16;1,74
Puerto La Candelaria_Red de enmalle - Red de enmalle fija continental_Isorineloricaria tenuicauda;0,29;1,35
Las Tenazas_Línea de mano - Línea de mano fija marina_Ocyurus chrysurus;1;1,9
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Oligoplites altus;0,5;1
Puerto Bello_Red de enmalle - Red de enmalle fija continental_Salminus affinis;1,17;2,43
Tagachí_Red de enmalle - Red de enmalle fija continental_Pimelodus sp. 2;0,98;0,98
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle langostera_Sciades proops;2,5;2,5
Guineal_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus analogus;0,5;0,5
Playa de Arusí_Línea de mano - Línea de mano fija marina_Cynoscion phoxocephalus;1;1
Sivirú_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus argentiventris;0,65;5,15
Casco urbano Roma_Red de enmalle - Red de enmalle fija continental_Pseudopimelodus atricaudus;0,25;0,25
Popoya Playa_Red de enmalle - Red de enmalle fija marina_Pagrus pagrus;1,3;1,3
Lomita Arena_Red de enmalle - Red de enmalle fija marina_Centropomus pectinatus;8;8
Damaquiel_Red de enmalle - Red de enmalle fija marina_Hemicaranx amblyrhynchus;20,75;34,25
Mulatos_Palangre o Espinel - Palangre o espinel de superficie_Megalops atlanticus;21,25;38
La Tagua_Línea de mano - Línea de mano fija continental_Phractocephalus hemioliopterus;6,1;22,75
Caño Lobo_Buceo - Buceo de caracol_Callinectes bocourti;4,5;4,5
Sempegua_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;0,27;1,11
Distribuidoras de Tumaco_Red de enmalle - Red de enmalle de deriva marina_Seriola rivoliana;6,82;45,8
Distribuidoras de Tumaco_Red de enmalle - Red de enmalle de deriva marina_Menticirrhus spp.;1,5;1,5
La Raya_Atarraya - Atarraya_Pangasianodon hypophthalmus;1,07;2,42
El Llanito_Trampas o Nasas - Nasas de Peces_Megaleporinus muyscorum;57,6;57,6
Berlín_Chinchorro continental - Chinchorro continental_Pterygoplichthys pardalis;0,16;1,34
Bazurto_Línea de mano - Línea de mano fija marina_Larimus breviceps;2;12,85
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Diapterus brevirostris;0,8;3,7
Domingodó_Línea de mano - Línea de mano fija continental_Megaleporinus muyscorum;1,1;1,1
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Brycon sinuensis;2,1;2,1
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus guttatus;7;7
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Parapsettus panamensis;7,5;7,5
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Centropomus armatus;2,75;2,75
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Trachinotus kennedyi;8,5;8,5
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Anisotremus spp.;3;3
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Notarius troschelii;5,5;80,1
Guataquí_Trampas o Nasas - Nasas de Peces_Ichthyoelephas longirostris;0,99;1
Guataquí_Trampas o Nasas - Nasas de Peces_Chaetostoma brevilabiatum;1,54;1,54
Guataquí_Trampas o Nasas - Nasas de Peces_Brycon moorei;0,52;0,99
Berlín_Red de enmalle - Red de enmalle de deriva continental_Pterygoplichthys pardalis;0,15;0,15
Puerto Principal (Leticia)_Red de enmalle - Red de enmalle fija continental_Myloplus rubripinnis;19,1;19,1
Cupica_Línea de mano - Línea de mano fija marina_Megalops atlanticus;23;23
Barrio Pambelé_Red de enmalle - Red de enmalle fija marina_Megalops atlanticus;4,12;12,62
Puerto Los Córdobas_Red de enmalle - Red de enmalle fija marina_Trachinotus carolinus;2;2
Puerto Miraflores_Palangre o Espinel - Palangre o espinel de fondo_Hemanthias peruanus;0,5;0,5
Casco Urbano (Arauca)_Línea de mano - Línea de mano fija continental_Sorubim lima;1,74;2,37
Casco Urbano (Arauca)_Línea de mano - Línea de mano fija continental_Ageneiosus inermis;1,8;1,8
Pesquera Aspabab_Red de enmalle - Red de enmalle camaronera_Caranx vinctus;4,5;4,5
Virudó_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus novemfasciatus;2,2;15,9
Virudó_Línea de mano - Línea de mano fija marina_Bairdiella ensifera;3,5;3,5
Muelle La Samaritana_Red de enmalle - Red de enmalle de deriva marina_Centropomus medius;14,18;35,33
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Caranx melampygus;7;7
Muelle Las Flores_Red de enmalle - Red de enmalle de deriva marina_Centropomus robalito;3,5;23,35
Desembarcadero (Juradó)_Línea de mano - Línea de mano fija marina_Eucinostomus spp.;4;4
Muelle La Samaritana_Red de enmalle - Red de enmalle de deriva marina_Bagre pinnimaculatus;18;18
Muelle La Samaritana_Red de enmalle - Red de enmalle de deriva marina_Epinephelus spp.;7,3;18,1
Muelle La Samaritana_Red de enmalle - Red de enmalle de deriva marina_Lobotes pacifica;15,5;15,5
Muelle La Samaritana_Red de enmalle - Red de enmalle de deriva marina_Notarius troschelii;8,6;19,4
La Plata - Bahía Málaga_Palangre o Espinel - Palangre o espinel de fondo_Menticirrhus panamensis;2;2
Taganga_Red de enmalle - Red de enmalle fija marina_Eugerres plumieri;1,5;1,5
Puerto Bello_Red de enmalle - Red de enmalle fija continental_Sternopygus aequilabiatus;1,1;4,02
