SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_NUMERO_DE_EJEMPLARES_hist;Cuartil_sup_NUMERO_DE_EJEMPLARES_hist;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
Palenquito_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;1;8;0,17;0,96
Curillo_Palangre o Espinel - Palangre calandrio_Salminus hilarii;1;1;0,3;0,3
Buchadó_Red de enmalle - Red de enmalle fija continental_Kronoheros umbrifer;1;2;0,2;1,43
Cabo Marzo_Línea de mano - Línea de mano fija marina_Kyphosus ocyurus;12;109;0,48;1,33
Río San Miguel_Línea de mano - Línea de mano fija continental_Zungaro zungaro;1;2;4,48;59,6
Río San Miguel_Línea de mano - Línea de mano fija continental_Prochilodus rubrotaeniatus;2;20;0,31;0,67
Río San Miguel_Línea de mano - Línea de mano fija continental_Hemisorubim platyrhynchos;2;2;0,56;0,56
La Ensenada_Red de enmalle - Red de enmalle camaronera_Cynoscion phoxocephalus;1;13;0,3;1,09
La Ensenada_Red de enmalle - Red de enmalle camaronera_Caranx caballus;8;82;0,31;0,45
La Ensenada_Red de enmalle - Red de enmalle camaronera_Centropomus armatus;1;15;0,25;0,96
La Ensenada_Red de enmalle - Red de enmalle camaronera_Chaetodipterus zonatus;2;15;0,22;0,61
La Ensenada_Red de enmalle - Red de enmalle camaronera_Acanthocybium solandri;2;14;0,25;0,64
La Ensenada_Red de enmalle - Red de enmalle camaronera_Bagre panamensis;2;16;0,14;0,38
San Nicolás (Santa Cruz De Mompox)_Red de enmalle - Red de enmalle fija continental_Brycon moorei;1;6;0,23;0,41
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro marino_Diapterus auratus;4;17;0,23;0,45
Sapzurro_Línea de mano - Línea de mano correteo curricán o trolling_Lutjanus synagris;4;4;0,25;0,25
Las Delicias_Red de enmalle - Red de enmalle fija marina_Lutjanus cyanopterus;1;1;1;1
Jodedor_Red de enmalle - Red de enmalle fija marina_Alectis ciliaris;2;2;1,62;1,62
Desembarcadero (Juradó)_Línea de mano - Línea de mano fija marina_Seriola peruana;1;9;3,1;7,25
Las Delicias_Red de enmalle - Red de enmalle fija marina_Umbrina broussonnetii;5;14;0,11;0,3
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Coryphaena hippurus;17;60;0,41;1,06
Desembarcadero (Juradó)_Línea de mano - Línea de mano fija marina_Coryphaena hippurus;20;89;0,57;0,75
Desembarcadero (Juradó)_Línea de mano - Línea de mano fija marina_Umbrina xanti;10;37;0,41;0,81
Isla Fuerte_Trampas o Nasas - Nasas de Peces_Caranx crysos;17;61;0,19;0,36
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Diapterus auratus; ; ; ; 
Puerto Boquillas_Atarraya - Atarraya_Megaleporinus muyscorum;32;182;0,18;0,28
Puerto Boquillas_Atarraya - Atarraya_Pimelodus yuma;200;200;0,13;0,13
Puerto Boquillas_Atarraya - Atarraya_Triportheus magdalenae;12;48;0,05;0,07
Barrio Santa Lucía_Red de enmalle - Red de enmalle fija marina_Euthynnus alletteratus;5;37;0,17;0,62
Barrio Santa Lucía_Red de enmalle - Red de enmalle fija marina_Menticirrhus americanus;5;31;0,15;0,31
Méjico_Atarraya - Atarraya_Rhamdia guatemalensis;11;11;0,13;0,13
Nueva Colonia_Palangre o Espinel - Palangre o espinel de superficie_Sciades proops;1;20;1,91;4
Puerto Abajo (Dibulla)_Chinchorro marino - Chinchorro marino_Sciades proops;1;1;5;5
Puerto Abajo (Dibulla)_Chinchorro marino - Chinchorro marino_Mugil liza; ; ; ; 
Puerto Abajo (Dibulla)_Chinchorro marino - Chinchorro marino_Centropomus undecimalis;4;9;2,09;3,79
Puerto Abajo (Dibulla)_Chinchorro marino - Chinchorro marino_Micropogonias furnieri; ; ; ; 
Puerto Abajo (Dibulla)_Chinchorro marino - Chinchorro marino_Penaeus schmitti; ; ; ; 
El Pájaro_Red de enmalle - Red de enmalle de deriva marina_Lobotes surinamensis;4;4;1;1
Méjico_Red de enmalle - Red de enmalle fija continental_Ichthyoelephas longirostris;1;2;0,54;0,62
Bellavista_Chinchorro marino - Chinchorro de jala playa_Caranx ruber;20;20;0,12;0,12
Betania (Montecristo)_Red de enmalle - Red de enmalle fija continental_Salminus affinis;1;4;0,31;0,62
Nueva Ola_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;2;14;0,14;0,15
Nueva Ola_Red de enmalle - Red de enmalle fija continental_Pseudopimelodus atricaudus;1;18;0,2;0,55
Morrosquillo_Línea de mano - Línea de mano fija marina_Caranx latus;3;24;0,38;0,73
Rincón del Mar_Red de enmalle - Red de enmalle de encierro marina_Haemulon carbonarium;16;111;0,12;0,21
Palomar_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;1;2;0,53;3,15
Las Balsas_Palangre o Espinel - Palangre calandrio_Leiarius marmoratus;1;2;1,5;2,93
El Valle_Línea de mano - Línea de mano fija marina_Epinephelus spp.;1;1;14;14
Puerto Principal (Puerto Lleras)_Línea de mano - Línea de mano fija continental_Mylossoma albiscopum;2;15;0,34;0,36
Honda_Trampas o Nasas - Nasas de Peces_Ichthyoelephas longirostris;1;3;1,88;2,18
Honda_Trampas o Nasas - Nasas de Peces_Sternopygus aequilabiatus;1;1;1,5;1,5
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Lobotes surinamensis;2;6;0,6;1,87
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;13;13;0,35;0,35
El Porvenir_Red de enmalle - Red de enmalle fija marina_Diapterus auratus;1;6;0,02;0,22
El Porvenir_Red de enmalle - Red de enmalle fija marina_Diapterus rhombeus;1;6;0,03;0,17
San Miguel (Puerto Gaitán)_Palangre o Espinel - Palangre calandrio_Ageneiosus inermis;2;5;0,74;1,15
La Boquilla_Chinchorro marino - Chinchorro marino_Polydactylus virginicus; ; ; ; 
La Boquilla_Chinchorro marino - Chinchorro marino_Chaetodipterus faber;10;20;0,2;0,3
Lomita Arena_Chinchorro marino - Chinchorro marino_Chloroscombrus chrysurus;22;1465;0,04;0,09
El Pájaro_Red de enmalle - Red de enmalle fija marina_Sphyraena barracuda;1;2;1,8;2,92
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Trichiurus lepturus;1;5;0,17;1
Ica-Copipa_Línea de mano - Línea de mano fija marina_Megalops atlanticus;1;1;3,8;48,8
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Scomberomorus brasiliensis;1;59;0,35;1,2
Sicará_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;1;6;0,15;0,53
Sicará_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;1;11;0,07;0,16
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Megalops atlanticus;1;4;0,5;2,17
Las Flores_Red de enmalle - Red de enmalle de deriva marina_Macrodon ancylodon; ; ; ; 
Rincón del Mar_Red de enmalle - Red de enmalle de encierro marina_Lutjanus analis;1;5;0,45;0,5
El Malecón (Coello)_Red de enmalle - Red de enmalle de deriva continental_Pimelodus grosskopfii;1;9;0,26;0,72
Muelle Principal (Puerto Leguízamo)_Red de enmalle - Red de enmalle de deriva continental_Plagioscion squamosissimus; ; ; ; 
Amarales_Red de enmalle - Red de enmalle de deriva marina_Lobotes pacifica;2;8;4,12;11,67
Amarales_Red de enmalle - Red de enmalle de deriva marina_Bagre pinnimaculatus;1;4;2,6;3,8
Amarales_Red de enmalle - Red de enmalle de deriva marina_Cynoscion albus;1;6;7,51;13,5
Ica-Copipa_Atarraya - Atarraya_Sphyraena guachancho;30;30;0,25;0,25
Ica-Copipa_Atarraya - Atarraya_Xiphopenaeus kroyeri;205;295;0,05;0,05
Amarales_Red de enmalle - Red de enmalle de deriva marina_Lutjanus peru;2;6;4,17;7,09
Amarales_Red de enmalle - Red de enmalle de deriva marina_Centropomus viridis;1;1;7,88;16,88
Amarales_Red de enmalle - Red de enmalle de deriva marina_Sciades dowii;1;2;3,35;8,55
Camarones_Trampas o Nasas - Nasas de Peces_Acanthurus bahianus; ; ; ; 
Camarones_Red de enmalle - Red de enmalle de deriva marina_Lutjanus purpureus;1;6;0,63;0,74
Punta Bonita_Red de enmalle - Red de enmalle camaronera_Bagre pinnimaculatus; ; ; ; 
Punta Bonita_Chinchorro marino - Chinchorro marino_Cynoscion albus; ; ; ; 
Soledad Pueblito_Red de enmalle - Red de enmalle camaronera_Penaeus occidentalis;43;397;0,03;0,04
Soledad Pueblito_Red de enmalle - Red de enmalle de encierro marina_Cynoscion phoxocephalus;14;86;0,63;0,88
Soledad Pueblito_Red de enmalle - Red de enmalle de encierro marina_Cynoscion squamipinnis;13;125;0,71;0,78
Guacamayo_Atarraya - Atarraya_Sorubim cuspicaudus;1;1;0,38;0,4
Nueva Ola_Red de enmalle - Red de enmalle fija continental_Hypostomus hondae;1;28;0,11;0,37
El Llanito_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;1;4;0,55;2,18
Marriaga_Red de enmalle - Red de enmalle fija continental_Mugil incilis;1;6;0,35;1,25
Bahía de Cispatá_Línea de mano - Línea de mano fija marina_Ocyurus chrysurus;1;1;0,39;0,49
Puerto Pozuelo - La Rinconada_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;1;6;0,23;0,55
Santa Rosa_Buceo - Buceo marino mixto_Mycteroperca tigris;2;2;2,02;2,48
Arroyito_Atarraya - Atarraya_Scomberomorus brasiliensis;1;1;0,46;0,53
Isla Fuerte_Red de enmalle - Red de enmalle de encierro marina_Lutjanus jocu;4;4;0,62;0,62
Puerto Principal (Puerto Lleras)_Atarraya - Atarraya_Boulengerella  cuvieri;1;1;0,29;0,6
Playa de Arusí_Palangre o Espinel - Palangre o espinel de fondo_Calamus brachysomus;1;3;1,52;1,97
Virudó_Red de enmalle - Red de enmalle fija marina_Caranx caninus;1;15;0,1;4
Virudó_Línea de mano - Línea de mano fija marina_Lutjanus argentiventris;1;57;0,15;1,69
Puerto Boca_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;1;1;1,1;1,1
Puerto Boca_Red de enmalle - Red de enmalle fija continental_Triportheus magdalenae;40;40;0,09;0,09
Pomeño_Red de enmalle - Red de enmalle fija marina_Lutjanus argentiventris;1;9;0,22;2,38
Puerto (Arauquita)_Atarraya - Atarraya_Astyanax integer;4020;4020;0;0
Villa Fátima_Red de enmalle - Red de enmalle de encierro marina_Ocyurus chrysurus; ; ; ; 
La Ensenada_Red de enmalle - Red de enmalle camaronera_Notarius troschelii;2;14;0,27;1,28
La Ensenada_Red de enmalle - Red de enmalle camaronera_Scomberomorus sierra;1;13;0,33;1,1
La Ensenada_Red de enmalle - Red de enmalle camaronera_Menticirrhus panamensis;1;20;0,25;0,75
La Ensenada_Red de enmalle - Red de enmalle camaronera_Menticirrhus spp.;3;16;0,34;1,09
Virudó_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus argentiventris;1;16;0,42;2,46
Virudó_Palangre o Espinel - Palangre o espinel de fondo_Centropomus armatus;3;5;0,23;1,45
Virudó_Palangre o Espinel - Palangre o espinel de fondo_Bairdiella ensifera;1;3;0,41;4,76
Virudó_Red de enmalle - Red de enmalle fija marina_Notarius troschelii;1;25;0,17;1,5
Virudó_Red de enmalle - Red de enmalle fija marina_Megalops atlanticus;1;1;1;1
Virudó_Línea de mano - Línea de mano fija marina_Epinephelus quinquefasciatus;1;3;1,56;15,12
La Ensenada_Red de enmalle - Red de enmalle camaronera_Sphyraena ensis;1;4;0,58;1
La Ensenada_Red de enmalle - Red de enmalle camaronera_Cynoscion squamipinnis;2;8;0,39;0,94
Dotenedó_Línea de mano - Línea de mano fija marina_Lutjanus peru;1;34;0,18;3
La Ensenada_Red de enmalle - Red de enmalle camaronera_Diapterus brevirostris;4;14;0,27;0,71
Isla Fuerte_Trampas o Nasas - Nasas de Peces_Caranx latus; ; ; ; 
Punta Bonita_Red de enmalle - Red de enmalle camaronera_Sciades dowii; ; ; ; 
Punta Bonita_Red de enmalle - Red de enmalle camaronera_Cynoscion albus; ; ; ; 
Punta Bonita_Red de enmalle - Red de enmalle camaronera_Centropomus armatus; ; ; ; 
Punta Bonita_Red de enmalle - Red de enmalle camaronera_Centropomus medius; ; ; ; 
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Notarius troschelii;2;13;0,38;1,19
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Caranx caninus;1;5;0,5;5,05
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Polydactylus approximans;2;6;0,14;0,43
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Bagre pinnimaculatus;1;14;0,31;1,25
Puerto Boca_Red de enmalle - Red de enmalle fija continental_Curimata mivartii;21;30;0,14;0,18
Paujil_Palangre o Espinel - Palangre calandrio_Pterodoras rivasi;3;5;0,58;1,96
Paujil_Palangre o Espinel - Palangre calandrio_Piaractus orinoquensis;5;5;1,28;1,28
Paujil_Red de enmalle - Red de enmalle fija continental_Pterodoras rivasi;1;99;0,76;2,44
Paujil_Red de enmalle - Red de enmalle fija continental_Ageneiosus inermis;2;20;0,2;1,18
Usaragá_Palangre o Espinel - Palangre o espinel de fondo_Centropomus medius;2;12;0,77;2,17
Puerto Amor_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;2;120;0,18;0,26
Puerto Amor_Red de enmalle - Red de enmalle de deriva continental_Brycon moorei;1;3;0,23;0,26
Palomar_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;1;1;0,43;0,75
El Porvenir_Línea de mano - Línea de mano fija marina_Oligoplites saliens;1;10;0,08;0,2
El Porvenir_Línea de mano - Línea de mano fija marina_Harengula humeralis;20;188;0,01;0,03
Miel de Abeja_Línea de mano - Línea de mano fija marina_Lutjanus peru; ; ; ; 
Miel de Abeja_Línea de mano - Línea de mano fija marina_Epinephelus spp.; ; ; ; 
Pomeño_Red de enmalle - Red de enmalle fija marina_Bairdiella ensifera;1;7;0,8;11,5
La Ensenada_Red de enmalle - Red de enmalle camaronera_Parapsettus panamensis;2;16;0,17;0,44
La Ensenada_Red de enmalle - Red de enmalle camaronera_Caranx caninus;2;12;0,14;0,29
Domingodó_Red de enmalle - Red de enmalle fija continental_Pseudopimelodus sp. 1;1;12;0,2;1,15
La Ensenada_Red de enmalle - Red de enmalle camaronera_Polydactylus approximans;7;11;0,26;0,37
Chontal_Red de enmalle - Red de enmalle de deriva marina_Anisotremus spp.; ; ; ; 
Domingodó_Red de enmalle - Red de enmalle fija continental_Notarius bonillai;1;5;0,42;4,04
Barrio Santa Lucía_Red de enmalle - Red de enmalle fija marina_Bairdiella ronchus;3;19;0,19;0,5
Mapiripán_Línea de mano - Línea de mano fija continental_Pygocentrus cariba;4;4;0,3;0,3
Policía fluvial (Quibdó)_Línea de mano - Línea de mano fija continental_Astyanax atratoensis;100;100;0,04;0,04
Tajamar Occidental_Red de enmalle - Red de enmalle de deriva marina_Caranx hippos;1;2;1,94;7,29
La Ensenada_Red de enmalle - Red de enmalle camaronera_Centropomus medius;2;9;0,27;0,49
Bazán La Bocana_Red de enmalle - Red de enmalle camaronera_Caranx caninus; ; ; ; 
Bazán La Bocana_Red de enmalle - Red de enmalle camaronera_Bagre pinnimaculatus; ; ; ; 
La Ensenada_Red de enmalle - Red de enmalle camaronera_Peprilus spp.;4;23;0,12;0,34
Miel de Abeja_Línea de mano - Línea de mano fija marina_Epinephelus analogus; ; ; ; 
Miel de Abeja_Línea de mano - Línea de mano fija marina_Notarius troschelii; ; ; ; 
Miel de Abeja_Línea de mano - Línea de mano fija marina_Cynoscion phoxocephalus; ; ; ; 
Miel de Abeja_Línea de mano - Línea de mano fija marina_Cynoscion albus; ; ; ; 
El Porvenir_Red de enmalle - Red de enmalle fija marina_Conodon nobilis;1;6;0,14;0,39
La Chamba_Atarraya - Atarraya_Isorineloricaria tenuicauda;2;8;0,21;0,39
La Chamba_Atarraya - Atarraya_Dasyloricaria filamentosa;2;3;0,06;0,22
La Chamba_Atarraya - Atarraya_Chaetostoma brevilabiatum;3;58;0,19;0,69
Nueva Ola_Red de enmalle - Red de enmalle fija continental_Piaractus brachypomus;1;9;0,12;0,34
Puerto (Orocué)_Palangre o Espinel - Palangre calandrio_Semaprochilodus laticeps;5;12;1,55;2,97
Puerto (Orocué)_Red de enmalle - Red de enmalle fija continental_Leiarius marmoratus;3;17;1,59;2,55
Sicará_Red de enmalle - Red de enmalle fija continental_Ariopsis canteri;1;5;0,15;0,53
Sicará_Red de enmalle - Red de enmalle fija continental_Brycon sinuensis;1;3;0,25;0,78
Betania - Naya_Red de enmalle - Red de enmalle de deriva marina_Caranx caballus; ; ; ; 
Soledad Pueblito_Red de enmalle - Red de enmalle de encierro marina_Centropomus armatus;12;43;0,6;0,83
Sicará_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;1;2;0,15;0,67
Santa Cruz - Naya_Red de enmalle - Red de enmalle de deriva marina_Cynoscion squamipinnis; ; ; ; 
Palanca_Red de enmalle - Red de enmalle fija continental_Salminus affinis;1;1;0,26;0,99
Palomino_Red de enmalle - Red de enmalle fija continental_Triportheus magdalenae;6;59;0,07;0,11
La Playa (El Banco)_Red de enmalle - Red de enmalle de deriva continental_Ichthyoelephas longirostris;1;1;0,5;0,5
Usaragá_Palangre o Espinel - Palangre o espinel de fondo_Haemulopsis leuciscus;1;3;1,07;2,27
La Ensenada_Red de enmalle - Red de enmalle camaronera_Larimus effulgens;3;14;0,25;0,33
Pueblo Nuevo_Palangre o Espinel - Palangre o espinel de fondo_Sciades dowii; ; ; ; 
Pueblo Nuevo_Palangre o Espinel - Palangre o espinel de fondo_Bagre pinnimaculatus; ; ; ; 
Pueblo Nuevo_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus quinquefasciatus; ; ; ; 
Puerto Cabuyaro_Palangre o Espinel - Palangre calandrio_Cephalosilurus apurensis;1;2;1,57;2,47
Chamón_Red de enmalle - Red de enmalle fija marina_Cynoscion albus; ; ; ; 
Chamón_Red de enmalle - Red de enmalle fija marina_Notarius troschelii; ; ; ; 
La Chamba_Atarraya - Atarraya_Pseudopimelodus atricaudus;1;1;0,89;3,41
La Chamba_Atarraya - Atarraya_Pseudopimelodus magnus;1;3;0,64;2,02
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro marino_Megalops atlanticus;1;1;1,15;18,25
Tribugá_Red de enmalle - Red de enmalle fija marina_Oligoplites altus;1;7;0,16;0,75
Chapundun_Red de enmalle - Red de enmalle fija continental_Ctenolucius hujeta;1;2;0,05;0,1
Costilla_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;1;2;0,5;2,78
Costilla_Atarraya - Atarraya_Colossoma macropomum;1;1;6;6
Vigía de Curvaradó_Red de enmalle - Red de enmalle fija continental_Rhamdia guatemalensis;3;48;0,15;0,26
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Sorubim cuspicaudus;2;10;0,58;1,78
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Megaleporinus muyscorum;2;5;0,3;0,37
Morrosquillo_Línea de mano - Línea de mano correteo curricán o trolling_Euthynnus alletteratus;4;62;0,24;0,42
Cupica_Línea de mano - Línea de mano fija marina_Euprepocaranx dorsalis;2;2;0,5;0,5
Casco urbano (Puerto Escondido)_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus purpureus;1;1;5;5
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Lobotes surinamensis;1;1;0,66;3,81
El Porvenir_Línea de mano - Línea de mano fija marina_Chaetodipterus faber;1;7;0,17;0,51
Isla Fuerte_Trampas o Nasas - Nasas de Peces_Panulirus argus;6;7;0,2;0,28
Champaché_Atarraya - Atarraya_Ariopsis canteri; ; ; ; 
La Grande_Red de enmalle - Red de enmalle fija continental_Rhamdia guatemalensis;1;2;0,28;0,45
Concepción - Tacamocho_Palangre o Espinel - Palangre calandrio_Ageneiosus pardalis;1;3;0,5;1
Río San Miguel_Red de enmalle - Red de enmalle de deriva continental_Serrasalmus compressus;1;1;0,23;0,23
Primera Ensenada_Línea de mano - Línea de mano fija marina_Lutjanus analis;20;20;0,11;0,11
Puerto Barrio El Progreso_Red de enmalle - Red de enmalle fija continental_Hypostomus hondae;4;33;0,13;0,17
La Casa del Pescador_Red de enmalle - Red de enmalle de deriva marina_Cynoscion albus; ; ; ; 
Corozal_Red de enmalle - Red de enmalle fija marina_Centropomus armatus;14;56;0,41;0,76
Corozal_Red de enmalle - Red de enmalle fija marina_Nebris occidentalis;18;55;0,39;0,56
Puerto del Cerrito_Trampas o Nasas - Nasas de Peces_Pimelodus yuma;102;200;0,1;0,12
Bellavista_Chinchorro marino - Chinchorro de jala playa_Centropomus undecimalis;1;6;0,94;5,55
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus guttatus;2;27;0,32;0,86
Santropel - San Sebastián_Atarraya - Atarraya_Sorubim cuspicaudus;1;16;0,25;1,81
Playa de Arusí_Palangre o Espinel - Palangre o espinel de fondo_Trachinotus stilbe;1;1;1,04;4,5
Aparca_Atarraya - Atarraya_Brycon falcatus;38;38;0,2;0,2
Guazo_Red de enmalle - Red de enmalle de deriva continental_Caquetaia kraussii;1;43;0,08;0,14
Providencia o Caimancito_Red de enmalle - Red de enmalle fija continental_Piaractus brachypomus;1;1;0,31;0,37
Providencia o Caimancito_Red de enmalle - Red de enmalle fija continental_Trachelyopterus insignis;1;5;0,11;0,13
